combo,ic_mean_test,ic_mean_valid,ic_std_test,ic_std_valid,ic_days_test,ic_days_valid,status_test,status_valid
alpha158_adj_cat,0.0140767496581542,0.0448493677257734,0.0907891055170635,0.1354776049940923,187,116,ok,ok
alpha158_adj_lgb,0.0115684393118798,0.0383082252827397,0.1141228296164443,0.1336614921832387,187,116,ok,ok
alpha158_adj_cat_pro_fil,0.012592572198434918,0.03805789794147134,0.09008283022512949,0.14120736675910897,187,116,ok,ok
alpha158_adj_lgb_pro_fil,0.0170098727976039,0.0375091101349425,0.0858217944584694,0.1348666162031331,187,116,ok,ok
alpha158_lgb,0.0119290278245247,0.0370239965382301,0.0959494666340661,0.133845992357219,187,116,ok,ok
alpha158_adj_xgb,0.0170089873220177,0.0348504410572903,0.0854702918231285,0.129055509102421,187,116,ok,ok
alpha158_cat,0.0075556928942165,0.0345945320442588,0.1067019009401839,0.1378395805417351,187,116,ok,ok
alpha158_lgb_pro_fil,0.0135518093872721,0.0336197876464691,0.0901177888395564,0.1332914908403989,187,116,ok,ok
alpha158_xgb,0.0119059938635309,0.029871384012025,0.0914622491445757,0.1292932306550966,187,116,ok,ok
